#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
1,USA,31870727,67511,575553,702,24423589,76823,6871585,9218,95849,1731,418230631,1257795,332,510,877,10,578,
2,Brazil,13445006,69592,351469,2535,11838564,46679,1254973,8318,62906,1644,28600000,133812,213,732,948,16,608,
3,India,13355465,152682,169305,838,12078333,90393,1107827,8944,9605,122,255214803,183538,1,390,530,992,104,8213
4,France,5023785,43284,98574,179,303639,,4621572,5729,76833,1508,69627924,1064877,65,385,892,13,663,
5,Russia,4632688,8704,102649,402,4258279,9579,271760,2300,31734,703,123300000,844618,145,983,181,32,1422,
6,UK,4368045,2589,127080,40,3961738,4421,279227,406,64082,1864,134289127,1970113,68,163,171,16,536,
7,Turkey,3798333,52676,33702,248,3301217,32539,463414,2739,44664,396,41297580,485609,85,42,925,22,2523,
8,Italy,3754068,17558,113923,344,3107069,20483,533076,3588,62161,1886,52801766,874309,60,392,563,16,530,
9,Spain,3347512,,76328,,3095922,,175262,2050,71576,1632,43458915,929227,46,768,878,14,613,
10,Germany,2992803,18693,78858,169,2661500,13900,252445,4515,35632,939,51559277,613857,83,992,315,28,1065,
11,Poland,2552928,24886,58176,749,2143065,35289,351687,3373,67512,1538,12912603,341474,37,814,322,15,650,
12,Colombia,2518715,14509,65608,325,2375176,9610,77931,2603,49094,1279,13246202,258193,51,303,536,20,782,
13,Argentina,2517300,19419,57647,297,2217783,13857,241870,3761,55304,1266,9527467,209314,45,517,627,18,790,
14,Mexico,2272064,5045,209161,173,1804913,2880,257990,4798,17480,1609,6241611,48018,129,983,471,57,621,
15,Iran,2049078,19666,64232,193,1702062,9057,282784,4329,24156,757,13577057,160058,84,826,64,41,1321,
16,Ukraine,1841137,17463,36779,398,1405826,10722,398532,177,42297,845,8622424,198086,43,528,763,24,1184,
17,Peru,1639767,11248,54669,384,1557779,9972,27319,2321,49201,1640,9945732,298423,33,327,621,20,610,
18,Czechia,1578007,4818,27798,90,1466082,449,84127,1287,147141,2592,14230215,1326896,10,724,441,7,386,
19,Indonesia,1562868,4723,42443,95,1409288,3629,111137,,5667,154,13344869,48392,275,767,9,176,6497,
20,South Africa,1557527,1285,53256,30,1482682,1045,21589,546,26007,889,10115923,168913,59,888,210,38,1125,
21,Netherlands,1342447,7676,16754,23,N/A,N/A,N/A,777,78211,976,10795845,628968,17,164,371,13,1024,
22,Chile,1068554,8133,24213,105,998400,6724,45941,3139,55528,1258,11825634,614524,19,243,575,18,795,
23,Canada,1052539,7261,23287,36,958633,4616,70619,928,27699,613,28875724,759907,37,999,6,36,1632,
24,Romania,1002865,4310,25006,139,902239,5666,75620,1492,52403,1307,7666540,400602,19,137,541,19,765,
25,Iraq,918155,6779,14678,37,809663,4891,93814,453,22438,359,8469899,206991,40,919,97,45,2788,
26,Belgium,917917,4860,23390,42,59165,263,835362,925,78935,2011,11620846,999313,11,628,838,13,497,
27,Sweden,857401,,13621,,N/A,N/A,N/A,377,84488,1342,7530772,742080,10,148,191,12,745,
28,Philippines,853187,12652,14744,225,648200,573,190243,762,7706,133,10704280,96687,110,711,91,130,7509,
29,Israel,835811,137,6292,12,825515,320,4004,268,90873,684,13729129,1492688,9197590,11,1462,,,
30,Portugal,826928,601,16910,6,784208,685,25810,119,81282,1662,9363361,920365,10,173,535,12,602,
31,Pakistan,715968,5139,15329,100,627561,1772,73078,4204,3193,68,10688894,47674,224,206,949,313,14626,
32,Hungary,713868,8053,23211,245,423366,3091,267291,1344,74043,2407,4897922,508018,9,641,234,14,415,
33,Bangladesh,678937,5343,9661,77,572378,3837,96898,,4091,58,4973489,29968,165,962,319,244,17179,
34,Jordan,662395,3145,7708,62,588353,7183,66334,729,64425,750,6294123,612166,10,281,719,16,1334,
35,Serbia,639476,3058,5700,41,550238,4730,83538,260,73419,654,3577398,410726,8,709,929,14,1528,
36,Switzerland,617543,,10452,2,558475,909,48616,189,70951,1201,6339396,728350,8,703,776,14,833,
37,Austria,574755,3139,9662,38,532539,3348,32554,586,63535,1068,26478234,2926958,9,46,331,16,936,
38,Morocco,501688,740,8891,6,488015,601,4782,242,13468,239,6091867,163541,37,249,722,74,4190,
39,Japan,499793,3587,9353,19,460993,2153,29447,511,3961,74,10387132,82323,126,174,664,252,13490,
40,Lebanon,494633,2705,6630,38,402172,3473,85831,864,72723,975,3694320,543154,6,801,609,14,1026,
41,UAE,481937,1931,1529,3,466804,1833,13604,,48276,153,40021387,4008941,9,983,33,21,6529,
42,Saudi Arabia,397636,878,6747,10,382773,575,8116,914,11286,191,15738545,446692,35,233,544,89,5222,
43,Bulgaria,371531,1352,14351,43,285799,930,71381,801,53786,2078,2266672,328141,6,907,614,19,481,
44,Slovakia,370473,1080,10487,76,255300,,104686,515,67831,1920,2432500,445374,5,461,701,15,521,
45,Malaysia,359117,1510,1321,8,342737,1248,15059,194,10986,40,8157933,249575,32,687,354,91,24744,
46,Panama,358377,279,6159,3,347898,415,4320,105,82058,1410,2234081,511543,4,367,339,12,709,
47,Ecuador,344877,2199,17275,117,290314,,37288,593,19320,968,1190939,66718,17,850,462,52,1033,
48,Belarus,334863,1433,2344,10,325108,1360,7411,,35447,248,5535400,585949,9,446,902,28,4030,
49,Greece,293763,2799,8833,75,246997,1646,37933,781,28292,851,7033594,677392,10,383,345,35,1176,
50,Croatia,290899,2535,6269,34,270964,2035,13666,180,71203,1534,1629803,398922,4,85,513,14,652,
51,Georgia,287689,506,3869,11,276711,285,7109,,72226,971,3646580,915490,3,983,201,14,1030,
52,Azerbaijan,283579,2192,3879,33,249013,1554,30687,,27774,380,3005197,294336,10,210,105,36,2632,
53,Bolivia,280649,1442,12428,16,230021,985,38200,71,23791,1054,976539,82783,11,796,372,42,949,
54,Nepal,279725,337,3039,1,273886,151,2800,,9469,103,2309776,78186,29,542,41,106,9721,
55,Tunisia,270297,1460,9235,56,224397,1006,36665,407,22686,775,1174701,98594,11,914,543,44,1290,
56,Kazakhstan,266677,2734,3202,12,232835,1511,30640,221,14072,169,9103707,480386,18,950,814,71,5918,
57,Palestine,265897,1502,2838,26,231288,1412,31771,190,51204,547,1623732,312683,5,192,907,20,1830,
58,Dominican Republic,257186,623,3385,3,216020,294,37781,154,23525,310,1343391,122883,10,932,304,43,3230,
59,Kuwait,245704,1379,1403,10,229846,1219,14455,226,56883,325,2151495,498092,4,319,474,18,3079,
60,Moldova,240886,830,5369,30,221968,1087,13549,312,59823,1333,899947,223497,4,26,657,17,750,
61,Ireland,240643,451,4783,14,23364,,212496,52,48316,960,4168990,837053,4,980,557,21,1041,
62,Denmark,237101,755,2439,3,225968,713,8694,37,40823,420,28833972,4964471,5,808,65,24,2381,
63,Paraguay,233745,1603,4749,51,191614,1643,37382,444,32463,660,969044,134581,7,200,447,31,1516,
64,Ethiopia,227255,1739,3146,35,169038,1093,55071,933,1940,27,2437495,20805,117,159,125,516,37241,
65,Slovenia,225951,1251,4112,12,207927,1240,13912,140,108674,1978,1100996,529539,2,79,160,9,506,
66,Lithuania,225334,1021,3675,13,205768,1428,15891,150,83687,1365,2480073,921077,2,692,579,12,733,
67,Costa Rica,222544,,3018,,194760,,24766,199,43379,588,842015,164128,5,130,219,23,1700,
68,Egypt,209677,801,12405,43,159054,600,38218,90,2019,119,2507491,24151,103,826,342,495,8370,
69,Guatemala,202640,1345,7001,24,184758,841,10881,5,11151,385,1103938,60750,18,171,777,90,2596,
70,Armenia,202167,1009,3720,23,181180,1020,17267,,68126,1254,899290,303041,2,967,553,15,798,
71,Honduras,194548,765,4766,51,75233,474,114549,512,19403,475,536963,53554,10,26,526,52,2104,
