#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
1,USA,32404463,43181,581061,310,24961229,51459,6862173,9814,97443,1747,429220719,1290703,332,547,930,10,572,1,
2,India,15057767,275306,178793,1625,12948848,143754,1930126,8944,10827,129,266538416,191645,1,390,790,274,92,7779,5
3,Brazil,13943071,42937,373442,1553,12391599,46738,1178030,8318,65227,1747,28600000,133794,213,761,802,15,572,7,
4,France,5289526,29344,100733,140,4116084,34881,1072709,5893,80894,1541,72191601,1104039,65,388,646,12,649,1,
5,Russia,4702101,8632,105582,389,4326780,7391,269739,2300,32210,723,125400000,858996,145,984,373,31,1383,1,
6,UK,4387820,1882,127270,10,4150568,4758,109982,332,64366,1867,140944028,2067538,68,169,978,16,536,0,
7,Turkey,4268447,55802,35926,318,3687590,43856,544931,3275,50181,422,43768759,514562,85,60,273,20,2368,2,
8,Italy,3870131,12694,116927,251,3248593,13134,504611,3311,64085,1936,55094444,912298,60,390,869,16,516,1,
9,Spain,3407283,,76981,,3129234,,201068,2180,72853,1646,44285495,946894,46,769,223,14,608,1,
10,Germany,3151030,13123,80591,65,2775200,10100,295239,4740,37513,959,52737238,627844,83,997,426,27,1042,2,
11,Argentina,2694014,16267,59228,64,2364171,20363,270615,4105,59176,1301,10154530,223051,45,525,551,17,769,4,
12,Poland,2688044,12172,62032,207,2311145,25924,314867,3359,71087,1640,13503602,357110,37,813,532,14,610,3,
13,Colombia,2652947,16871,68328,397,2471498,13610,113121,4299,51700,1332,13844971,269809,51,313,902,19,751,4,
14,Mexico,2304096,4157,212228,535,1826646,2914,265222,4798,17723,1632,6400316,49230,130,9,363,56,613,20,
15,Iran,2237089,21644,66732,405,1785358,12670,384999,4766,26366,787,14386423,169558,84,846,625,38,1271,6,
16,Ukraine,1946510,10282,39786,250,1482079,6523,424645,177,44723,914,8915393,204840,43,523,764,22,1094,5,
17,Peru,1704757,7131,57230,433,1627969,8289,19558,2636,51138,1717,10435441,313034,33,336,408,20,582,3,
18,Indonesia,1604348,4585,43424,96,1455065,4873,105859,,5817,157,13836432,50164,275,822,293,172,6352,20,
19,Czechia,1601888,1533,28502,49,1508943,78,64443,938,149363,2658,15590376,1453673,10,724,820,7,376,1,
20,South Africa,1566769,1089,53736,25,1490143,686,22890,546,26155,897,10337066,172565,59,902,511,38,1115,6,
21,Netherlands,1403833,8505,16916,12,1170083,7344,216834,796,81784,985,11292587,657881,17,165,94,12,1015,2,
22,Chile,1124718,7370,25177,122,1053635,7828,45906,3308,58437,1308,12278835,637971,19,246,710,17,764,2,
23,Canada,1121498,7591,23623,32,1009950,6397,87925,1167,29509,622,29907670,786934,38,5,328,34,1609,1,
24,Romania,1029304,2265,26232,160,940792,4277,62280,1475,53791,1371,7902628,412991,19,135,100,19,729,2,
25,Iraq,977175,6188,14981,33,856532,6814,105662,526,23871,366,8805486,215102,40,936,402,42,2733,5,
26,Belgium,947000,3787,23718,37,799120,4614,124162,923,81429,2039,11950159,1027546,11,629,800,12,490,1,
27,Philippines,936117,10082,15960,150,779056,72579,141101,750,8453,144,11153268,100717,110,738,989,118,6939,10,
28,Sweden,900138,,13788,,730387,5739,155963,391,88689,1359,7847033,773153,10,149,393,11,736,1,
29,Israel,837047,165,6335,4,828488,524,2224,196,91007,689,13940203,1515636,9197590,11,1452,1,,,
30,Portugal,831001,441,16945,3,788669,395,25387,109,81687,1666,9690372,952561,10,172,969,12,600,1,
31,Pakistan,756285,6127,16243,149,659483,4527,80559,4446,3372,72,11144367,49688,224,289,117,297,13808,20,
32,Hungary,750508,3706,25184,205,455029,4238,270295,1051,77847,2612,5124731,531569,9,640,767,13,383,2,
33,Bangladesh,718950,3698,10385,102,614936,6121,93629,,4331,63,5170067,31146,165,993,675,231,15984,32,
34,Jordan,685973,2507,8246,68,638481,6537,39246,729,66705,802,6477564,629889,10,283,654,15,1247,2,
35,Serbia,662368,2069,5991,37,589535,5437,66842,218,76053,688,3683511,422942,8,709,259,13,1454,2,
36,Switzerland,632399,,10508,3,570159,1743,51732,235,72648,1207,6538153,751082,8,704,984,14,828,1,
37,Austria,593423,2076,9898,28,555218,2599,28307,546,65591,1094,28823897,3185907,9,47,312,15,914,0,
38,Japan,529829,4611,9622,38,480793,2415,39414,723,4199,76,10886748,86288,126,167,291,238,13112,12,
39,Lebanon,510403,1900,6925,39,423848,,79630,735,75048,1018,3814173,560823,6,801,27,13,982,2,
40,Morocco,505811,364,8945,1,491810,273,5056,235,13576,240,6163347,165423,37,258,87,74,4165,6,
41,UAE,497154,1930,1554,4,479566,1503,16034,,49788,156,41767180,4182859,9,985,318,20,6426,0,
42,Saudi Arabia,404970,916,6823,13,388702,907,9445,1044,11490,194,16174957,458943,35,243,920,87,5165,2,
43,Bulgaria,386381,418,15195,57,306678,1441,64508,783,55944,2200,2362070,342001,6,906,620,18,455,3,
44,Slovakia,375974,638,11106,63,255300,,109568,438,68838,2033,2503748,458415,5,461,751,15,492,2,
45,Malaysia,375054,2195,1378,8,353822,1427,19854,219,11471,42,8601726,263088,32,695,285,87,23727,4,
46,Panama,360841,244,6188,1,350610,263,4043,105,82598,1416,2299031,526258,4,368,639,12,706,2,
47,Ecuador,360546,2389,17703,62,309541,10937,33302,621,20192,991,1228641,68810,17,855,589,50,1009,15,
48,Belarus,344223,1300,2423,10,334852,1479,6948,,36438,256,5666746,599856,9,446,843,27,3899,2,
49,Greece,315273,1829,9462,65,267947,,37864,841,30366,911,7468808,719374,10,382,376,33,1097,1,
50,Croatia,307790,1565,6562,39,285560,2142,15668,194,75346,1606,1700615,416304,4,85,32,13,623,2,
51,Azerbaijan,300666,2144,4140,33,264403,1923,32123,,29443,405,3108924,304443,10,211,851,34,2467,3,
52,Georgia,295358,818,3939,14,280915,783,10504,,74154,989,3875789,973069,3,983,55,13,1011,1,
53,Bolivia,288545,1185,12634,9,237313,858,38598,71,24454,1071,1037899,87962,11,799,417,41,934,11,
54,Kazakhstan,287001,2828,3384,20,246323,1806,37294,221,15141,179,9523633,502431,18,955,109,66,5601,2,
55,Tunisia,285490,1514,9783,66,234791,779,40916,486,23957,821,1228086,103054,11,916,907,42,1218,10,
56,Nepal,284673,1015,3083,8,275300,262,6290,,9633,104,2345501,79368,29,552,77,104,9585,13,
57,Palestine,280741,988,3017,34,247359,2064,30365,170,54039,581,1679032,323190,5,195,181,19,1722,3,
58,Dominican Republic,261129,502,3418,4,218724,418,38987,157,23881,313,1370499,125338,10,934,383,42,3199,8,
59,Kuwait,256987,1127,1448,8,240465,1438,15074,250,59478,335,2219893,513783,4,320,683,17,2984,2,
