#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
1,China,90541,+21,4636 ,,85600,+27,305,6,63,3,160000000,111163,1439323776 ,15897,310467,9
2,USA,32602051,+65057,583330 ,+876,25177434,+73818,6841287,10009,98032,1754,433439646,1303328,332563810,10,570,1
3,India,15924806,+315802,184672 ,+2102,13449406,+179543,2290728,8944,11449,133,271053392,194876,1390901395,87,7532,5
4,Brazil,14122795,+71910,381687 ,+3157,12646132,+84443,1094976,8318,66064,1785,28600000,133786,213774168,15,560,7
5,France,5374288,+34968,101881 ,+313,4218607,+37226,1053800,5959,82188,1558,72936321,1115408,65389827,12,642,1
6,Russia,4727125,+8271,106706 ,+399,4352873,+9644,267546,2300,32381,731,126500000,866528,145984885,31,1368,1
7,Turkey,4446591,+61967,36975 ,+362,3844342,+52213,565274,3398,52271,435,44728595,525800,85067708,19,2301,2
8,UK,4395703,+2396,127327 ,+22,4166734,+5301,101642,300,64479,1868,146043397,2142250,68172895,16,535,0
9,Italy,3904899,+13844,117997 ,+364,3311267,+20552,475635,3076,64661,1954,55885251,925404,60390143,15,512,1
10,Spain,3446072,+10232,77364 ,+148,3151587,+4306,217121,2288,73682,1654,44374223,948788,46769371,14,605,1
11,Germany,3208672,+27862,81382 ,+296,2824100,+20500,303190,4932,38199,969,52737238,627827,83999616,26,1032,2
12,Argentina,2769552,+25932,60083 ,+291,2424675,+16822,284794,4492,60831,1320,10421935,228908,45528947,16,758,4
13,Poland,2718494,+13927,63474  ,+741,2366230,+11578,288790,3265,71893,1679,13767550,364094,37813194,14,596,3
14,Colombia,2701313,+17212,69596 ,+419,2521944,+16206,109773,5306,52638,1356,14052886,273837,51318345,19,737,4
15,Iran,2311813,+24886,67913 ,+388,1823958,+13427,419942,4991,27244,800,14739719,173704,84855437,37,1249,6
16,Mexico,2311172,+4262,213048 ,+582,1836377,+3245,261747,4798,17775,1639,6438267,49517,130020459,56,610,20
17,Ukraine,1974118,+12162,40796 ,+429,1514472,+14720,418850,177,45359,937,8996039,206703,43521622,22,1067,5
18,Peru,1726806,+7718,58261 ,+307,1653411,+8311,15134,2628,51794,1747,10582462,317409,33340173,19,572,3
19,Indonesia,1620569,+5720,44007 ,+230,1475456,+7314,101106,,5875,160,14032928,50872,275845986,170,6268,20
20,Czechia,1609890,+3812,28762 ,+59,1520050,+234,61078,861,150107,2682,16239529,1514178,10724982,7,373,1
